,Calidad,Costo
0,0.053,40.6324
1,0.10800000000000001,19.4756
2,0.098,21.358
3,0.055999999999999994,39.0836
4,0.051,39.27
5,0.138,18.8964
6,0.222,20.0548
7,0.129,23.996
8,0.08800000000000001,38.442
9,0.062,39.4768
10,0.042,41.3112
11,0.04,36.9456
12,0.075,40.2628
13,0.07,22.802799999999998
14,0.053,32.193599999999996
15,0.081,38.5108
16,0.10300000000000001,24.513599999999997
17,0.129,38.038399999999996
18,0.08900000000000001,40.693599999999996
19,0.085,37.455600000000004
20,0.053,34.020799999999994
21,0.065,35.748400000000004
22,0.096,41.58
23,0.133,39.6904
24,0.08900000000000001,40.3212
25,0.067,38.7936
26,0.068,40.2076
27,0.085,40.2524
28,0.13699999999999998,19.113599999999998
29,0.125,20.996
30,0.10300000000000001,35.7144
31,0.085,21.2132
32,0.057999999999999996,34.994
33,0.08199999999999999,33.6868
34,0.153,39.9524
35,0.10800000000000001,32.652
36,0.077,40.386799999999994
37,0.069,36.5764
38,0.06,28.7624
39,0.076,22.6612
40,0.073,41.2692
41,0.094,23.8452
42,0.109,39.7868
43,0.09300000000000001,18.4316
44,0.11599999999999999,17.0864
45,0.145,41.117599999999996
46,0.11199999999999999,40.28
47,0.126,25.153999999999996
48,0.055,40.193599999999996
49,0.095,40.459199999999996
50,0.073,40.8488
51,0.13,41.5696
52,0.1,33.0868
53,0.09,42.6904
54,0.065,41.9972
55,0.055,42.8696
56,0.149,39.1488
57,0.161,36.8836
58,0.09,41.6456
59,0.081,40.9696
60,0.073,40.6456
61,0.08900000000000001,41.7248
62,0.085,26.932000000000002
63,0.20199999999999999,29.8788
64,0.078,17.2
65,0.062,31.136
66,0.040999999999999995,30.1172
67,0.08199999999999999,38.0176
68,0.068,37.827999999999996
69,0.066,38.7244
70,0.06,21.72
71,0.059000000000000004,38.8592
72,0.044000000000000004,39.3176
73,0.059000000000000004,38.8528
74,0.067,37.8968
75,0.057999999999999996,40.221599999999995
76,0.057999999999999996,38.7388
77,0.099,32.094
78,0.1,23.9348
79,0.07200000000000001,32.534800000000004
80,0.047,38.1764
81,0.045,21.479599999999998
82,0.043,36.08
83,0.087,38.708
84,0.098,37.034800000000004
85,0.051,35.8488
86,0.053,22.1544
87,0.053,31.9692
88,0.061,14.262799999999999
89,0.067,22.6796
90,0.043,34.318
91,0.076,5.068
92,0.067,21.502799999999997
93,0.083,29.8024
94,0.071,34.4072
95,0.09300000000000001,40.7108
96,0.066,28.838
97,0.051,40.9488
98,0.055,39.4076
99,0.201,31.141599999999997
100,0.07,36.431200000000004
101,0.057999999999999996,40.059200000000004
102,0.063,38.955600000000004
103,0.051,40.266
104,0.07,28.5764
105,0.040999999999999995,35.7692
106,0.04,20.082400000000003
107,0.075,37.518
108,0.085,36.300799999999995
109,0.043,38.08
110,0.051,33.2244
111,0.094,23.372
112,0.052000000000000005,22.527199999999997
113,0.059000000000000004,36.9452
114,0.068,39.9456
115,0.048,38.118
116,0.046,35.4352
117,0.046,29.775999999999996
118,0.075,38.5008
119,0.092,34.9796
120,0.07,20.7788
121,0.29,23.892
122,0.193,27.6816
123,0.198,29.047199999999997
124,0.145,28.3176
125,0.128,22.7336
126,0.134,26.5936
127,0.564,36.6524
128,0.251,21.5304
129,0.133,21.82
130,0.1,21.1408
131,0.138,21.358
132,0.159,21.8964
133,0.068,36.4488
134,0.174,24.036800000000003
135,0.04,29.397199999999998
136,0.081,31.5556
137,0.07400000000000001,37.3804
138,0.067,34.9388
139,0.057,25.0104
140,0.09,26.4484
141,0.10400000000000001,26.772399999999998
142,0.10400000000000001,27.334
143,0.075,36.669200000000004
144,0.073,35.18
145,0.078,36.8832
146,0.055999999999999994,18.8516
147,0.07400000000000001,35.704
148,0.11,37.2384
149,0.063,35.2864
150,0.057999999999999996,30.455599999999997
151,0.05,24.897199999999998
152,0.063,24.7548
153,0.084,34.331599999999995
154,0.063,41.32
155,0.049,36.0488
156,0.071,36.7004
157,0.098,37.5176
158,0.105,37.566
159,0.068,25.2412
160,0.106,31.434400000000004
161,0.091,32.434400000000004
162,0.111,18.6276
163,0.134,29.4964
164,0.092,25.7548
165,0.062,21.8648
166,0.067,24.9056
167,0.09300000000000001,23.529999999999998
168,0.09300000000000001,23.4576
169,0.18600000000000003,31.496
170,0.1,30.2376
171,0.233,35.372
172,0.111,30.730800000000002
173,0.073,29.882400000000004
174,0.128,36.5964
175,0.203,33.2616
176,0.183,35.234
177,0.1,37.1756
178,0.081,32.971599999999995
179,0.08199999999999999,32.023599999999995
180,0.098,28.9752
181,0.105,31.023599999999995
182,0.209,32.7372
183,0.046,29.986
184,0.081,32.1132
185,0.08900000000000001,33.126799999999996
186,0.111,30.150799999999997
187,0.095,31.385199999999998
188,0.174,33.1404
189,0.133,30.412800000000004
190,0.16399999999999998,30.585199999999997
191,0.139,31.1748
192,0.10300000000000001,20.4168
193,0.12300000000000001,29.9064
194,0.191,32.065200000000004
195,0.141,31.9548
196,0.128,32.2996
197,0.184,32.2548
198,0.14800000000000002,32.3272
199,0.256,32.572
200,0.076,30.641199999999998
201,0.075,31.1824
202,0.057999999999999996,30.486
203,0.055,31.6652
204,0.07400000000000001,34.965199999999996
205,0.049,33.5896
206,0.055,21.1892
207,0.055,34.558400000000006
208,0.111,20.5652
209,0.091,34.51
210,0.075,36.9376
211,0.091,36.120400000000004
212,0.081,31.671999999999997
213,0.077,33.162
214,0.085,33.7068
215,0.062,33.7792
216,0.076,31.8276
217,0.09699999999999999,36.1104
218,0.10300000000000001,30.468799999999998
219,0.085,33.662
220,0.084,34.424
221,0.11699999999999999,34.9516
222,0.081,34.5412
223,0.061,24.812800000000003
224,0.095,34.5308
225,0.122,35.2584
226,0.081,33.9136
227,0.053,31.8376
228,0.047,30.962
229,0.047,30.5344
230,0.046,34.78959999999999
231,0.049,25.461599999999997
